index,descriptors,type,tags,combinations
63,moped parking|Motorcycle parking|motorcycle parking spots|motorcycle parking area|scooter parking|motorcycle parking,core,amenity=motorcycle_parking,
64,parking spaces|parking spots|parking|parking area|Parking lots| parking garage| car park|parking zone,core,"amenity=parking, amenity=parking, amenity=motorcycle_parking, amenity=parking_space, amenity=car_sharing, parking:both=* AND parking:both!=no, parking:left=* AND parking:left!=no, parking:right=* AND parking:right!=no, amenity=car_sharing",
65,parking complex|multi-story parking facility|parking entrance|parking garage|car park|Multi-storey car park|underground parking garage,core,"amenity=parking_entrance, parking=underground, parking=multi-storey, building=parking",
66,parking space| parking spot| parking slot| parking area| parking place| parking stall,core,amenity=parking_space,
67,taxi stand|taxi|cab station|taxi bay| cab|taxicab,core,amenity=taxi,
68,atm|bancomat|cash point | cash machine| cash dispenser| bank machine,core,amenity=atm,
69,cambio|bank| savings| financial institution,core,"amenity=bank, amenity=bureau_de_change",
72,health centre|medical facility|clinic|medical center|polyclinic|healthcare facility|outpatient care,core,amenity=clinic,
73,dentist|dental practice|dental clinic|endodontist|tooth doctor|orthodontist|dental surgeon|dental care centre,core,amenity=dentist,
74,doctor|doctor practice|gp|general practitioner|medical practitioner|Physician|surgeo|Specialist|medic|doc|health professional|MD|medical doctor,core,amenity=doctors,
75,hospital|hospital building|emergency room|healthcare center|health institution|medical institution|medical centre,core,"amenity=hospital, building=hospital",
76,nursing home|elderly home|convalescent home|convalescent hospital|retirement home|elder care facility|old folks home|old peoples home|assisted living facility|rest home,core,amenity=nursing_home,
77,pharmacy|drugstore|apothecary|dispensary|chemist|pharmaceutical shop|medicine store|prescription drug store,core,amenity=pharmacy,
78,homeless shelter|social facility|social services|social amenities|social care location|community institution|social welfare,core,amenity=social_facility,
79,veterinary|vet|veterinarian|animal doctor|horse doctor|veterinary surgeon,core,amenity=veterinary,
81,brothel|whorehouse|bordello|cathouse|den of iniquity|house of prostitution|bagnio,core,"amenity=brothel, amenity=night_club, amenity=love_hotel, amenity=stripclub, amenity=swingerclub",
82,casino|gambling establishment|gambling club|betting house|gambling|gambling den,core,"amenity=casino, amenity=gambling",
83,cinema|movie theater|movie house|cineplex|picture palace|bioscope|the pictures|the movies|film house|drive-in|nickelodeon,core,amenity=cinema,
84,community centre|rec center|recreation center|community hall|activity center|neighborhood center|cultural center|civic centre,core,"amenity=community_centre, amenity=social_centre",
85,conference centre|convention center|meeting venue|conference facility|symposium center|exhibition center|trade fair|trade fair center|congress center,core,"amenity=conference_centre, amenity=exhibition_centre, amenity=events_venue",
88,fountain|spring|fount|jet|spray|well|cascade,core,amenity=fountain,
91,music venue|music hall|amphitheater|concert hallstage|auditorium,core,amenity=music_venue,
93,planetarium|astronomy center|celestial theater,core,amenity=planetarium,
94,public bookcase|book repository|bookshelf|book cabinet|book display,core,amenity=public_bookcase,
97,TV studio|radio studio|recording studio|production studio|sound studio|music studio|audio lab|broadcasting studio|news studio,core,amenity=studio,
99,theatre|theatre house|opera|opera house|theater|arts center|performing arts center|playhouse,core,"amenity=theatre, amenity=arts_centre",
100,courthouse|court of law|court|tribunal|justice building|courtroom|judicial center|legal center,core,amenity=courthouse,
101,fire station|fire brigade station|firehouse|fire department|fire brigade,core,"amenity=fire_station, building=fire_station",
102,police station|police headquarters|cop shop|law enforcement center|police post|police precinct|station house,core,amenity=police,
103,post box|letter box|mailbox|maildrop|pillar box,core,amenity=post_box,
105,post office|general post office|postal service|postal station|post office box,core,"amenity=post_office, amenity=mailroom, amenity=post_depot, amenity=parcel_locker",
106,prison|jail|penitentiary|lockup|brig|slammer|bastille|penitentiary institution|correctional facility|detention center,core,amenity=prison,
107,ranger station|National Park visitor headquarters|park visitor facility|forestry station|national park visitor center|national park information center,core,amenity=ranger_station,
108,townhall|cityhall|town house|city government|municipal center,core,"amenity=townhall, building=public",
109,barbeque|barbie|public bbq|bbq|public grill|public outdoor grill|public outdoor coocking station|outdoor barbeque|cookout,core,amenity=bbq,
110,bench|public bench|park bench|outdoor bench|street bench|public seating,core,amenity=bench,
113,drinking fountain|bubbler|water fountain|public fountain,core,amenity=drinking_water,
118,shower|public shower|communal shower|open shower|shower room,core,amenity=shower,
119,public telephone|telephone| phone booth|coin phone|pay phone|public telephone booth|public phone,core,amenity=telephone,
120,public toilet|toilet building|public bathroom|lavatory|restroom|toilet facility|washroom,core,"amenity=toilets, building=toilets",
121,water point|tapping point|source of water|water connection,core,"amenity=water_point, amenity=watering_place",
124,recycling facility|recycling center|waste management station|resource recovery center|garbage disposal facility|waste treatment center|recycling plant,core,"amenity=recycling, amenity=sanitary_dump_station, amenity=waste_transfer_station, amenity=waste_transfer_station",
125,waste basket|garbage deposit|trash bin|public bin|public trash can|litter basket|garbage pail,core,amenity=waste_basket,
130,animal shelter|anaimal rescue center|animal refuge|pet adoption center|animal care center,core,"amenity=animal_shelter, amenity=animal_boarding, amenity=animal_breeding, amenity=animal_training",
133,childcare center|daycare center|daycare|nursery|preschool|kindergarten|crèche|infant school|childcare facility,core,"amenity=childcare, amenity=kindergarten",
134,clock|public clock| time| metronome| calendar| timer,core,amenity=clock,
136,dive centre| scuba center| diving center| dive school| dive club| dive shop,core,amenity=dive_centre,
138,cemetery|grave yard| burial ground| catacomb| memorial park| tomb,core,"amenity=grave_yard, amenity=crematorium, amenity=funeral_hall, amenity=place_of_mourning, landuse=cemetery, historic=tomb, cemetery=grave",
139,hunting stand| shooting house,core,amenity=hunting_stand,
140,internet cafe| cyber cafe| internet bar| web cafe| cybercenter| online cafe| internet shop,core,amenity=internet_cafe,
144,marketplace| bazaar| trading center,core,amenity=marketplace,
145,monastery| abbey| cloister| house,core,"amenity=monastery, building=monastery, historic=monastery",
148,place of worship|house of god|house of worship,core,"amenity=place_of_worship, building=cathedral, building=chapel, building=church, building=mosque, building=shrine, building=synagogue",
149,public bath|onsen|hot spring|bathhouse| spa| sauna| baths,core,"amenity=public_bath, natural=hot_spring",
151,refugee site| refugee camp| refugee center| refugee settlement| refugee shelter| displaced persons camp,core,amenity=refugee_site,
152,vending machine| automat| dispenser| coin machine,core,amenity=vending_machine,
155,city wall| town wall| bounday wall| rampart,core,"barrier=city_wall, historic=citywalls",
156,fence| hedge| blockade| barrier,core,barrier=fence,
158,guard rail| safety rail,core,"barrier=guard_rail, barrier=cable_barrier",
159,handrail|public handrail| balustrade| rail| handle,core,barrier=handrail,
161,kerb stone|kerb| pavement| sidewalk edge| edge,core,barrier=kerb,
163,wall| dam,core,"barrier=wall, barrier=retaining_wall",
165,bollard| block| dock,core,"barrier=bollard, barrier=block, barrier=jersey_barrier",
166,customs|border check|border control| border security| border patrol| border inspection| border management,core,barrier=border_control,
169,cattle grid| cattle guard,core,barrier=cattle_grid,
170,chain barrier| chain gate,core,"barrier=chain, barrier=rope",
171,cycle barrier| bike barrier| cycle gate,core,barrier=cycle_barrier,
175,gate|archway| door| fence| portal,core,"barrier=gate, barrier=entrance",
177,height restrictor| height barrier| height limiter,core,barrier=height_restrictor,
181,lift gate,core,"barrier=lift_gate, barrier=swing_gate",
190,toll booth| toolgate,core,barrier=toll_booth,
191,turnstile| doorway| access gate| swing gate| revolving door,core,barrier=turnstile,
197,forest compartment| forest zone| area,core,"boundary=forest_compartment, boundary=forrest",
198,hazard area|hazardous area| danger zone| danger,core,boundary=hazard,
200,boundary marker|border stone| landmark| boundary post,core,"boundary=marker, historic=boundary_stone",
205,protected area|marine protection|heritage site|national park|wilderness,core,"boundary=protected_area, boundary=national_park",
222,houseboat|riverboat|floating home,core,building=houseboat,
223,residential building|apartment building|home|residence|tenement|block of flats|house|residential house|residential dwelling|condominium|flat,core,"building=residential, building=semidetached_house",
225,static caravan|mobile home|trailer home|travel trailer|house trailer|caravan,core,building=static_caravan,
227,terrace|row house|townhouse|terraced house|cluster house|town home|linked house,core,building=terrace,
231,kiosk|convenience store|news stand|stall|convenience shop|7/11,core,"building=kiosk, shop=kiosk, shop=convenience",
232,office building|business center|office block|corporate building|offices|business park,core,building=office,
235,warehouse|depot|storage facility|repository|stockroom|storehouse|distribution center|logistics center,core,building=warehouse,
236,cathedral|sanctuary|Basilica,core,building=cathedral,
237,chapel|side chapel|chantry chapel,core,building=chapel,
238,church|minster|house of prayer,core,"building=church, historic=church",
239,kingdom hall|jehovas witnesses meeting place,core,building=kingdom_hall,
241,mosque|masjid,core,building=mosque,
242,presbytery|monestary|abbey|clergy house|home for priests,core,building=presbytery,
243,religious building|religious center,core,building=religious,
244,shrine|wayside shrine|altar|reliquary,core,building=shrine,
245,synagogue|shul|jewish temple|jewish house of worship,core,building=synagogue,
246,temple|holy place,core,building=temple,
248,skyway|skybridge|bridge between building|overpass,core,building=bridge,
249,civic building,core,"building=civic, amenity=community_centre",
250,college building,core,"building=college, amenity=university",
262,barn,core,building=barn,
263,conservatory,core,building=conservatory,
264,cow barn|cowshed,core,building=cowshed,
265,farm auxiliary,core,building=farm_auxiliary,
266,greenhouse,core,building=greenhouse,
267,slurry|slurry tank,core,building=slurry_tank,
268,stable|horse stable,core,building=stable,
269,pig shed|sty,core,building=sty,
270,grandstand,core,building=grandstand,
272,riding hall,core,building=riding_hall,
275,hangar,core,building=hangar,
276,hut|shed|wilderness hut,core,"building=hut, building=shed, tourism=wilderness_hut",
278,carport,core,building=carport,
279,garage|garage building,core,"building=garage, building=garages",
282,digester|biogas production,core,building=digester,
283,service,core,building=service,
284,transformer tower,core,building=transformer_tower,
287,silo,core,"building=silo, building=storage_tank, man_made=silo, man_made=bunker_silo",
288,beach hut,core,building=beach_hut,
290,castle|historic fort|castle wall|fort,core,"building=castle, historic=castle, historic=castle_wall, historic=fort",
291,building under construction,core,building=construction,
292,container|living container,core,building=container,
294,military building,core,building=military,
295,pergola|canopy|free standing patio|rain shelter|pavilion,core,"building=roof, amenity=shelter, building=pavilion",
296,ruins,core,building=ruins,
297,tent|permanent tent,core,building=tent,
303,building levels|floors,attr,building:levels=***numeric***,
304,building material,attr,building:material=***any***,
309,height,attr,height=***numeric***,
399,ambulance station,core,emergency=ambulance_station,
400,defibrillator,core,emergency=defibrillator,
401,landing site,core,emergency=landing_site,
402,emergency ward entrance,core,emergency=emergency_ward_entrance,
403,fire service inlet,core,emergency=fire_service_inlet,
404,fire alarm box,core,emergency=fire_alarm_box,
405,fire extinguisher,core,emergency=fire_extinguisher,
406,fire hose,core,emergency=fire_hose,
407,fire hydrant,core,emergency=fire_hydrant,
408,water tank,core,emergency=water_tank,
409,suction point,core,emergency=suction_point,
410,lifeguard spot,core,emergency=lifeguard,
411,life ring,core,emergency=life_ring,
412,lifeguard tower,core,lifeguard=tower,
413,assembly point,core,emergency=assembly_point,
414,emergency phone|emergency telephone,core,emergency=phone,
415,siren,core,emergency=siren,
416,drinking water,core,emergency=drinking_water,
417,moraine,core,geological=moraine,
418,outcrop,core,geological=outcrop,
419,palaeontological site,core,geological=palaeontological_site,
420,volcanic caldera rim|vulcano edge,core,geological=volcanic_caldera_rim,
421,vulcano centre|volcanic vent,core,geological=volcanic_vent,
422,volcanic lava field|lava,core,geological=volcanic_lava_field,
444,road|street,core,"highway=road, highway=motorway, highway=trunk, highway=primary, highway=secondary, highway=tertiary, highway=unclassified, highway=residential, highway=motorway_link, highway=trunk_link, highway=primary_link, highway=secondary_link, highway=tertiary_link, highway=living_street, highway=service, highway=pedestrian, highway=track, highway=road, highway=motorway_junction",
445,freeway|interstate|motorway|expressway|autobahn,core,"highway=motorway, highway=trunk, highway=primary, highway=motorway_link, highway=trunk_link, highway=primary_link, highway=motorway_junction",
450,surface street|secondary road|primary|country road|rural road|tertiary road|B-road,core,"highway=primary, highway=primary, highway=secondary, highway=tertiary, highway=unclassified, highway=primary_link, highway=secondary_link, highway=tertiary_link",
452,trunk link,core,"highway=trunk_link, highway=primary_link, highway=secondary_link, highway=tertiary_link",
459,track|Track|sand track|foot trail|bridleway|unpaved road|path,core,"highway=path, highway=track, highway=bridleway, highway=path",
460,Highway link|connecting roads|link roads|motorway link,core,"highway=motorway_link, highway=trunk_link, highway=primary_link, highway=secondary_link, highway=tertiary_link",
461,emergency escape ramp|truck arrester bed|escape|Runaway truck ramp,core,highway=escape,
462,speedway|Raceway|raceway|racetrack,core,highway=raceway,
465,sidewalk|footpath|footway|pedestrian walkway,core,"highway=footway, highway=pedestrian, footway=sidewalk, [""sidewalk""|""sidewalk:right""|""sidewalk:left""|""sidewalk:both""|""sidewalk:foot""|""sidewalk:right:foot""|""sidewalk:left:foot""|""sidewalk:both:foot""]=[""both""|""left""|""right""|""separate""|""yes""|""designated""], foot=designated, foot=official",
467,staircase|steps|stairway|Stairs,core,"highway=steps, area:highway=steps",
468,corridor,core,highway=corridor,
472,Pedestrian crossing|refuge island|marked crosswalk|pedestrian island|zebra crossing,core/attr,"footway=crossing, footway=pedestrian, highway=crossing, railway=crossing, path=crossing, crossing=[""marked|traffic_signals|zebra|pedestrian_signals|island|toucan|pelican""], crossing:island=yes",
474,Bicycle lane|cycleway|cycle path|bicycle street|bicycle road,core/attr,"highway=cycleway, [""cycleway:right""|""cycleway:left""|""cycleway:both""|""cycleway:""]=[""lane""|""opposite_lane""|""track""|""opposite""|""separate""|""crossing""], highway=[""cycleway""|""cyclestreet""], [""bicycle""|""cycleway:bicycle""]=[""designated""|""official""]",
483,bus guideway|lane|bus lane|bus street|busway,core/attr,"[""busway""|""busway:right""|""busway:left""|""busway:both""|""busway:conditional""|""busway:conditional ""]=[""lane""|""opposite_lane""|""designated""|""yes""], [""psv:lanes:forward:conditional""|""psv:lanes:backward:conditional""|""psv:lanes:conditional:conditional""|""psv:lanes:forward""|""psv:lanes:backward""|""psv:lanes:conditional""|""psv:lanes""|""psv""|""bus:lanes:forward:conditional""|""bus:lanes:backward:conditional""|""bus:lanes:conditional:conditional""|""bus:lanes:forward""|""bus:lanes:backward""|""bus:lanes:conditional""|""bus:lanes""|""bus""]=designated, [""lanes:bus:forward:conditional""|""lanes:bus:backward:conditional""|""lanes:bus:conditional:conditional""|""lanes:bus:forward""|""lanes:bus:backward""|""lanes:bus:conditional""|""lanes:bus""|""lanes:psv:forward:conditional""|""lanes:psv:backward:conditional""|""lanes:psv:conditional:conditional""|""lanes:psv:forward""|""lanes:psv:backward""|""lanes:psv:conditional""|""lanes:psv""]=***numeric***, highway=[""busway""|""bus_guideway""]",
495,ford,attr,ford=yes,
496,ice road,core,ice_road=yes,
503,mountain pass,core,mountain_pass=yes,
512,passing place,attr,highway=passing_place,
528,bus stop|bus platform|bus station|Bus bay|public transport station|transit station|commuter station|transport hub|interchangeterminus|coach station|stop area,core,"highway=bus_stop, bus_bay=both, bus_bay=left, bus_bay=right, public_transport=stop_position, public_transport=stop_area, public_transport=platform, public_transport=station, amenity=bus_station, highway=platform",
531,emergency bay|lay-by|Emergency bay|pull-off,core,highway=emergency_bay,
532,emergency access point,core,highway=emergency_access_point,
533,give way sign|yield sign,core,highway=give_way,
535,highway milestone,core,highway=milestone,
536,"Roundabout, traffic circle, rotary",core,"highway=mini_roundabout, junction=circular|mini roundabout|junction=roundabout",
537,motorway junction,core,highway=motorway_junction,
540,rest area|rest stop|rest zone,core,"highway=rest_area, highway=services",
542,speed camera,core,highway=speed_camera,
543,stop sign,core,highway=stop,
544,street lamp,core,highway=street_lamp,
546,traffic mirror,core,highway=traffic_mirror,
547,traffic signals|traffic control,core,highway=traffic_signals,
554,aqueduct,core,historic=aqueduct,
555,archaeological site,core,historic=archaeological_site,
560,cannon,core,historic=cannon,
566,city gate,core,historic=city_gate,
573,historic highwater mark,core,historic=highwater_mark,
575,historic mansion|manor,core,historic=manor,
576,memorial|memorial site,core,historic=memorial,
579,monument,core,historic=monument,
597,wreck|ship wreck,core,historic=wreck,
599,shopping district|commercial|Shopping area|shopping street|commercial area|retail district|retail building|commercial building,core,"landuse=commercial, landuse=retail, building=retail, building=commercial, building=retail",
600,construction site|construction area,core,"landuse=construction, landuse=brownfield, landuse=greenfield",
601,educational district,core,landuse=education,
603,industrial|Industrial area|factory district|manufacturing zone|industrial park|industrial building,core,"landuse=industrial, industrial=*, man_made=works, building=industrial",
604,urban area|town|township|settlement|village|community|suburb|hamlet|megalopolis|residential area|dwelling|city|metropolis|municipality,core,"landuse=residential, place=[""city""|""suburb""|""town""|""village""|""isolated_dwelling""|""allotments""|""farm""|""hamlet""], landuse=[""residential""|""commercial""|""retail""|""institutional""|""education""]",
607,marine farm|Aquaculture|fishery|fish farm|aquaculture,core,"landuse=aquaculture, seamark:type=marine_farm",
608,planter|gardens|Allotments|rosarium|allotments|plots|flower garden|Flower bed,core,"landuse=allotments, landuse=flowerbed, man_made=planter, barrier=planter, garden:style=flower_garden, garden:style=rosarium",
609,rural area|farming area|cultivated land|farmland|Farmland|farm|agrarian region|agricultural land|cropland|countryside,core,"landuse=farmland, landuse=farmland, landuse=orchard, landuse=farmyard, landuse=vineyard, landuse=allotments, landuse=greenhouse_horticulture, landuse=plant_nursery, building=farm",
612,woodlands|woodland|grove|forest|woods,core,"landuse=forest, landuse=orchard, natural=wood, landcover=trees",
613,greenhouse horticulture|glasshouse|Greenhouse|hothouse,core,"landuse=greenhouse_horticulture, landuse=greenhouse",
615,fruit garden|fruit grove|orchard,core,landuse=orchard,
617,winery|vineyard|Vineyard|grape plantation,core,landuse=vineyard,
623,conservation,core,landuse=conservation,
625,car storage facilities|garages|carports|Garages,core,"landuse=garages, building=garage, building=garages",
626,greenfield|lawn|grass|village green|Grass|meadow|fell|tundra|grassland|fen|turf,core,"landuse=grass, landuse=village_green, landuse=meadow, landuse=greenfield, surface=grass, surface=artificial_turf, natural=grassland, natural=fell, natural=tundra, wetland=wet_meadow, wetland=fen",
628,landfill,core,landuse=landfill,
629,army base|military installation|Military base,core,"landuse=military, military=*",
630,harbour|port|seaport|Port,core,"landuse=port, industrial=port",
631,Quarry|mine|quarry|excavation site,core,"landuse=quarry, industrial=mine",
633,recreation ground|Park|public garden|greenspace|recreational area,core,"landuse=recreation_ground, landuse=village_green, leisure=park, leisure=garden",
636,winter sports,core,landuse=winter_sports,
639,amusement arcade,core,"leisure=amusement_arcade, leisure=adult_gaming_centre",
640,beach resort,core,leisure=beach_resort,
641,bandstand,core,leisure=bandstand,
642,bird hide,core,leisure=bird_hide,
644,dance venue|dance hall,core,leisure=dance,
646,dog park,core,leisure=dog_park,
649,fishing spot|place for fishing,core,leisure=fishing,
650,fitness centre|gym,core,"leisure=fitness_centre, leisure=fitness_station",
652,garden,core,leisure=garden,
654,horse riding centre,core,leisure=horse_riding,
655,ice rink,core,leisure=ice_rink,
656,marina,core,leisure=marina,
658,nature reserve,core,leisure=nature_reserve,
659,park,core,leisure=park,
662,playground|play area|play park|kids playground,core,leisure=playground,
664,sports centre,core,leisure=sports_centre,
665,stadium|stadium building,core,"leisure=stadium, building=stadium",
668,swimming|swimming pool,core,"leisure=swimming_pool, leisure=swimming_area",
669,running track|cycling track|horse track|dog track,core,leisure=track,
670,water park,core,leisure=water_park,
674,bridge,core,man_made=bridge,
677,chimney,core,man_made=chimney,
679,communications tower,core,man_made=communications_tower,
688,gasometer,core,man_made=gasometer,
693,lighthouse,core,man_made=lighthouse,
694,mast,core,man_made=mast,
695,mineshaft,core,man_made=mineshaft,
698,observatory|telescope,core,"man_made=observatory, man_made=telescope",
699,offshore platform,core,man_made=offshore_platform,
700,petroleum well,core,man_made=petroleum_well,
701,dock|pier|wharf|Pier,core,man_made=pier,
702,pipeline,core,man_made=pipeline,
704,pumping station,core,man_made=pumping_station,
707,snow fence,core,"man_made=snow_fence, man_made=snow_net",
712,surveillance camera,core,man_made=surveillance,
713,survey point,core,man_made=survey_point,
716,tower,core,man_made=tower,
718,wastewater plant,core,man_made=wastewater_plant,
719,watermill,core,man_made=watermill,
720,water tower,core,"man_made=water_tower, building=water_tower",
724,wildlife crossing,core,man_made=wildlife_crossing,
725,windmill,core,man_made=windmill,
726,works|production plant|factory,core,man_made=works,
729,military airfield,core,military=airfield,
730,military base,core,"military=base, military=academy, military=barracks, military=obstacle_course",
731,bunker|military bunker,core,"military=bunker, building=bunker",
733,military checkpoint,core,military=checkpoint,
734,danger area,core,military=danger_area,
735,nuclear explosion site,core,military=nuclear_explosion_site,
737,military office,core,military=office,
738,military range,core,military=range,
740,Military training area|military proving ground,core,military=training_area,
744,thicket|hedges|heath|shrubbery|scrub|Bushes,core,"natural=heath, natural=scrub, natural=shrubbery, barrier=hedge",
748,row of trees|tree|copse|tree row|Tree|trees,core,"natural=tree, natural=tree_row, landuse=orchard",
753,shoreline|coast|beach|Beach,core,"natural=beach, natural=bay, natural=coastline",
758,geyser,core,natural=geyser,
759,glacier,core,natural=glacier,
762,mud|muddy area,core,natural=mud,
763,spit|Peninsula|peninsula|promontory|headland|cape|land tongue,core,"natural=peninsula, natural=isthmus, natural=cape",
764,reef,core,natural=reef,
769,body of water|water,core,natural=water,
770,swamp|wetland|Wetland|marsh|bog,core,"natural=wetland, wetland=*",
775,cliff|Cliffs|escarpment|precipice,core,natural=cliff,
776,dune|sand dune,core,natural=dune,
777,earth bank,core,natural=earth_bank,
779,hill,core,natural=hill,
780,peak,core,natural=peak,
781,ridge,core,natural=ridge,
782,rock|group of rocks,core,"natural=rock, natural=stone",
784,sand|sandy area,core,natural=sand,
785,scree,core,natural=scree,
786,sinkhole,core,natural=sinkhole,
788,valley,core,natural=valley,
789,volcano,core,natural=volcano,
796,charity office,core,office=charity,
797,private office|company,core,office=company,
798,construction company,core,office=construction_company,
802,embassy|diplomatic mission|consulate|liaison office,core,office=diplomatic,
803,educational institution,core,office=educational_institution,
804,employment agency,core,office=employment_agency,
805,energy supplier office,core,office=energy_supplier,
806,engineer office,core,office=engineer,
807,estate agent,core,office=estate_agent,
808,financial office,core,office=financial,
810,forestry office,core,office=forestry,
811,office of a foundation,core,office=foundation,
813,governmental office|government office,core,"office=government, building=government",
819,lawyer|lawyer's office,core,office=lawyer,
820,haulers office|forwarders office,core,office=logistics,
821,moving company,core,office=moving_company,
822,newspaper company|office of a newspaper,core,office=newspaper,
823,office of a ngo,core,office=ngo,
825,politician's office,core,office=politician,
826,office of a political party,core,office=political_party,
828,publisher's office,core,office=publisher,
830,office of a community of faith,core,office=religion,
835,office of a telecommunication company,core,office=telecommunication,
864,archipelago,core,place=archipelago,
865,atoll|islet|island|Island,core,"place=island, place=islet",
867,square,core,place=square,
869,sea|ocean,core,place=sea,
873,cable|power cable,core,power=cable,
881,power line,core,power=line,
885,power plant,core,power=plant,
888,power substation,core,power=substation,
891,Power line terminal,core,power=terminal,
892,power tower|power pole,core,"power=tower, power=pole",
899,abandoned|disused railway tracks|decommissioned railroad|Abandoned train tracks|disused railway|extinct line|deserted train tracks,core,"railway=abandoned, railway=disused",
900,railway under construction|railway repair,core,railway=construction,
908,rail|railroad tracks|Railway tracks|train tracks|train line|tracks,core,"railway=rail, railway=light_rail, railway=miniature, railway=narrow_gauge, railway=subway, railway=tram",
909,tram tracks|tram|subway|light rail|subway tracks|metro|Subway|underground|tube|rapid transit,core,"railway=subway, railway=tram, railway=light_rail",
911,railway bridge|railroad viaduct|train bridge|railroad bridge|trestle bridge,core/attr,railway=* AND bridge=yes,
912,railway cutting|submerged railway|sunken railway|under-level railway,attr,cutting=yes,
922,railway tunnel|train tunnel|metro tunnel|railway underpass|subway tunnel|railroad tunnel,attr,railway=* AND tunnel=yes,
936,railway crossing|level crossing|grade crossing|pedestrian railway crossing,core,"railway=crossing, railway=level_crossing, railway=tram_level_crossing, railway=railway_crossing",
940,railway signal|railroad signal|railway light|train signal|trackside signal|railroad light|train signaling lights,core,railway=signal,
941,railway switch|track switch|railroad switch|train switch|train crossover,core,railway=switch,
943,turntable|rotating train platform|revolving train platform,core,railway=turntable,
972,alcohol shop,core,shop=alcohol,
973,bakery,core,shop=bakery,
996,department store|large store,core,shop=department_store,
999,mall|shopping centre,core,shop=mall,
1000,supermarket,core,"shop=supermarket, building=supermarket",
1001,wholesale club|wholesale shop,core,shop=wholesale,
1005,clothes shop|clothing store|fashion store,core,"shop=clothes, shop=fashion",
1006,fabric shop,core,shop=fabric,
1009,jewelry shop,core,shop=jewelry,
1012,shoe shop,core,shop=shoes,
1016,charity shop,core,shop=charity,
1017,second hand shop,core,shop=second_hand,
1019,beauty shop|spa|nail salon,core,shop=beauty,
1023,hairdresser,core,shop=hairdresser,
1028,medical supply store,core,shop=medical_supply,
1032,tattoo shop|tattoo parlour,core,shop=tattoo,
1036,doityourself shop|DIY shop,core,shop=doityourself,
1040,florist,core,shop=florist,
1068,electronics shop,core,shop=electronics,
